Account,ShareOfChargesLOC,ShareOfFXLOC
ABD131867,47.62,29.95
ABD131867,47.62,29.95
ABD134101,37.39,24.2
ABD132484,25.7,19.44
ABD132484,25.7,19.44
ABD137588,0,118.58
ABD132428,84,135.42
ABD134123,105.52,64.4
ABD132109,172.02,812.52
ABD132428,69.98,216.27
ABD132428,69.98,216.27
ABD132549,0,24.3
ABD132549,0,24.3
ABD135739,25.7,51.03
ABD135739,25.7,51.03
ABD136729,143.76,192.88
ABD136729,143.76,192.88
ABD132187,57.9,91.96
ABD133078,146.28,149.75
ABD133078,146.28,149.75
ABD130888,259.52,1504.17
ABD131197,266.85,1900.03
ABD131197,266.85,1900.03
ABD130558,27.23,50.82
ABD130558,27.23,50.82
ABD130701,99.46,6.05
ABD130701,99.46,6.05
ABD132626,0,31.59
ABD133870,77.14,4.84
ABD133870,77.14,4.84
ABD130569,0,116.64
ABD131791,1549.13,684.05
ABD130635,182.25,54.68
ABD134804,91.13,66.83
ABD134804,91.13,66.83
ABD133254,0,70.18
ABD131856,77.46,2.43
ABD131856,77.46,2.43
ABD131791,92.22,2.43
ABD131791,92.22,2.43
ABD132044,84.38,10.94
ABD132044,84.38,10.94
ABD133913,23.97,47.58
ABD132550,38.82,87.45
ABD132550,38.82,87.45
ABD131405,58.26,56.87
ABD131405,58.26,56.87
ABD131054,171.34,162.14
ABD131032,326.7,707.85
ABD131032,326.7,707.85
ABD131241,104.4,272.4
ABD132682,71.88,99.43
ABD132682,71.88,99.43
ABD133913,105.27,61.71
ABD133913,105.27,61.71
ABD133892,105.71,63.18
ABD132550,96.14,-8.39
ABD132550,96.14,-8.39
ABD130822,27.23,65.34
ABD132583,165.67,68.04
ABD132583,165.67,68.04
ABD130383,41.01,136.08
ABD130383,41.01,136.08
ABD130932,23.78,47.19
ABD135366,2695.5,808.65
ABD135366,2695.5,808.65
ABD130459,90.75,-49.12
ABD130459,90.75,-49.12
ABD131175,168.12,150
ABD134134,104.05,92.25
ABD134134,104.05,92.25
ABD130822,27.34,51.03
ABD130822,27.34,51.03
ABD133980,23.58,114
ABD130383,60.51,-1.22
ABD134002,88.76,225.99
ABD133892,106.56,1.2
ABD133892,106.56,1.2
ABD130042,0,47.42
ABD134585,91.85,7.29
ABD134585,91.85,7.29
ABD133375,26.96,148.55
ABD130482,104.05,57.5
ABD130482,104.05,57.5
ABD134112,38.28,0
ABD134112,38.28,0
ABD134310,32.76,58.56
ABD133517,399.12,-59.29
ABD131593,95.16,26.84
ABD130503,88.76,13.37
ABD130503,88.76,13.37
ABD136103,103.03,3.66
ABD132484,23.78,20.57
